date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:48	1082279/1082279	---MCZ	200	added ('OK')	text/html	etag:W/%22efdb5ad4c2b50c444c4f44f9eb38fc68%22	https://sn694097.wixstudio.com/my-site	C:/mysitexy/sn694097.wixstudio.com/my-site.html	(from )
22:47:48	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://sn694097.wixstudio.com/robots.txt		(from )
22:47:49	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/mysitexy/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://sn694097.wixstudio.com/my-site)
22:47:49	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/mysitexy/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sn694097.wixstudio.com/my-site)
22:47:49	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/mysitexy/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://sn694097.wixstudio.com/my-site)
22:47:50	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Dec%202025%2017:02:50%20GMT	https://sn694097.wixstudio.com/	C:/mysitexy/sn694097.wixstudio.com/index.html	(from https://sn694097.wixstudio.com/my-site)
22:47:50	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Dec%202025%2017:02:50%20GMT	https://sn694097.wixstudio.com/t	C:/mysitexy/sn694097.wixstudio.com/t.4.delayed	(from https://sn694097.wixstudio.com/my-site)
22:47:51	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Dec%202025%2017:02:51%20GMT	https://sn694097.wixstudio.com/e	C:/mysitexy/sn694097.wixstudio.com/e.5.delayed	(from https://sn694097.wixstudio.com/my-site)
22:47:52	570/570	---M--	200	added ('OK')	text/xml	date:Sat,%2006%20Dec%202025%2017:02:52%20GMT	https://sn694097.wixstudio.com/my-site/blog-feed.xml	C:/mysitexy/sn694097.wixstudio.com/my-site/blog-feed.xml	(from https://sn694097.wixstudio.com/my-site)
22:47:54	852940/852940	---MCZ	200	added ('OK')	text/html	etag:W/%22851adb2788f902253f13d3061e89e966%22	https://sn694097.wixstudio.com/my-site/resources	C:/mysitexy/sn694097.wixstudio.com/my-site/resources.html	(from https://sn694097.wixstudio.com/my-site)
22:47:56	1009332/1009332	---MCZ	200	added ('OK')	text/html	etag:W/%223725d5a20c1acf10b39ed60106dcbb7e%22	https://sn694097.wixstudio.com/my-site/contact	C:/mysitexy/sn694097.wixstudio.com/my-site/contact.html	(from https://sn694097.wixstudio.com/my-site)
22:47:56	2622/2622	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:43:59%20GMT	https://static.wixstatic.com/media/c837a6_1cf1ee5676c54e53b60e6b695c13dc55f000.png/v1/fill/w_160,h_61,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_1cf1ee5676c54e53b60e6b695c13dc55f000.png	C:/mysitexy/static.wixstatic.com/media/c837a6_1cf1ee5676c54e53b60e6b695c13dc55f000.png/v1/fill/w_160,h_61,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_1cf1ee5676c54e53b60e6b695c13dc55f000.png	(from https://sn694097.wixstudio.com/my-site)
22:47:57	4610/4610	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:43:59%20GMT	https://static.wixstatic.com/media/c837a6_b93a40a80a2043e4be7724bc25cae842~mv2.png/v1/fill/w_49,h_50,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2010_09_02-02.png	C:/mysitexy/static.wixstatic.com/media/c837a6_b93a40a80a2043e4be7724bc25cae842_mv2.png/v1/fill/w_49,h_50,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2010_09_02-02.png	(from https://sn694097.wixstudio.com/my-site)
22:47:57	2988/2988	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:43:59%20GMT	https://static.wixstatic.com/media/c837a6_42789ae9acec4c0b81f3bafc01527381~mv2.png/v1/fill/w_49,h_35,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2014_13_20-2.png	C:/mysitexy/static.wixstatic.com/media/c837a6_42789ae9acec4c0b81f3bafc01527381_mv2.png/v1/fill/w_49,h_35,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2014_13_20-2.png	(from https://sn694097.wixstudio.com/my-site)
22:47:57	3358/3358	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:44:00%20GMT	https://static.wixstatic.com/media/c837a6_44745c4a16b9417381ab40bee42cfa1bf000.png/v1/fill/w_96,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_44745c4a16b9417381ab40bee42cfa1bf000.png	C:/mysitexy/static.wixstatic.com/media/c837a6_44745c4a16b9417381ab40bee42cfa1bf000.png/v1/fill/w_96,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_44745c4a16b9417381ab40bee42cfa1bf000.png	(from https://sn694097.wixstudio.com/my-site)
22:47:57	5358/5358	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:44:01%20GMT	https://static.wixstatic.com/media/c837a6_65f763d6cb5a42a48865bc6948dc8afff000.png/v1/fill/w_90,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_65f763d6cb5a42a48865bc6948dc8afff000.png	C:/mysitexy/static.wixstatic.com/media/c837a6_65f763d6cb5a42a48865bc6948dc8afff000.png/v1/fill/w_90,h_90,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_65f763d6cb5a42a48865bc6948dc8afff000.png	(from https://sn694097.wixstudio.com/my-site)
22:47:58	4807/4807	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:44:01%20GMT	https://static.wixstatic.com/media/c837a6_7d9fc5413dd14ef590ff456bc1458add~mv2.png/v1/fill/w_49,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2010_16_43-2.png	C:/mysitexy/static.wixstatic.com/media/c837a6_7d9fc5413dd14ef590ff456bc1458add_mv2.png/v1/fill/w_49,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Screenshot%202024-08-14%20at%2010_16_43-2.png	(from https://sn694097.wixstudio.com/my-site)
22:47:58	1259/1259	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Dec%202025%2016:44:02%20GMT	https://static.wixstatic.com/media/c837a6_fde62dd539f4485ab4c88352f8433f0df000.jpg/v1/fill/w_160,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_fde62dd539f4485ab4c88352f8433f0df000.jpg	C:/mysitexy/static.wixstatic.com/media/c837a6_fde62dd539f4485ab4c88352f8433f0df000.jpg/v1/fill/w_160,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_fde62dd539f4485ab4c88352f8433f0df000.jpg	(from https://sn694097.wixstudio.com/my-site)
22:47:58	5343/5343	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Dec%202025%2016:44:02%20GMT	https://static.wixstatic.com/media/c837a6_398761c98a64476cbde32d3b6100a956f000.png/v1/fill/w_160,h_61,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_398761c98a64476cbde32d3b6100a956f000.png	C:/mysitexy/static.wixstatic.com/media/c837a6_398761c98a64476cbde32d3b6100a956f000.png/v1/fill/w_160,h_61,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_avif,quality_auto/c837a6_398761c98a64476cbde32d3b6100a956f000.png	(from https://sn694097.wixstudio.com/my-site)
